antecedents,consequents,support,confidence,lift
frozenset({'VINTAGE HEADS AND TAILS CARD GAME '}),frozenset({'VINTAGE SNAP CARDS'}),0.02119230585652236,0.596774193548387,12.490525603428829
frozenset({'VINTAGE SNAP CARDS'}),frozenset({'VINTAGE HEADS AND TAILS CARD GAME '}),0.02119230585652236,0.4435564435564436,12.490525603428829
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.028876903250441507,0.6388595564941921,11.741005761499842
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.028876903250441507,0.5307017543859649,11.741005761499842
frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.02286287050737435,0.4714566929133859,10.643846091840892
frozenset({'CHOCOLATE HOT WATER BOTTLE'}),frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),0.02286287050737435,0.5161637931034483,10.643846091840892
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.026108538971886783,0.5336585365853659,10.23871794871795
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.026108538971886783,0.5009157509157509,10.23871794871795
frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.03799341320223378,0.7952047952047953,10.15874125874126
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.03799341320223378,0.4853658536585366,10.158741258741259
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.02324471385614052,0.4969387755102041,9.345928443190562
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.02324471385614052,0.4371633752244165,9.34592844319056
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG PINK RETROSPOT'}),0.020571810414777337,0.35385878489326766,9.152710373208457
frozenset({'LUNCH BAG PINK RETROSPOT'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.020571810414777337,0.5320987654320987,9.152710373208455
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.02252875757720395,0.5419058553386912,8.498105969461765
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.02252875757720395,0.35329341317365265,8.498105969461765
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.027922294878526085,0.43951915852742296,8.440298707890046
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.027922294878526085,0.5362053162236481,8.440298707890046
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.028304138227292254,0.5134199134199134,8.05139266920704
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.028304138227292254,0.4438622754491018,8.05139266920704
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.021621879623884302,0.42857142857142855,7.615776081424936
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.021621879623884302,0.3842239185750636,7.615776081424936
frozenset({'LUNCH BAG SUKI  DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.02071500167056465,0.38958707360861755,7.320393523923002
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI  DESIGN '}),0.02071500167056465,0.38923766816143496,7.320393523923001
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.021430957949501218,0.4026905829596413,6.926740889644864
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.021430957949501218,0.36863711001642036,6.926740889644864
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.02548804353014176,0.4623376623376623,6.869813023855578
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.02548804353014176,0.37872340425531914,6.869813023855577
frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.028781442413249963,0.4276595744680851,6.706508790928781
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETRO SPOT CAKE CASES'}),0.028781442413249963,0.4513473053892215,6.706508790928781
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.036800152737339505,0.23257918552036197,4.571075530804038
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.036800152737339505,0.723264540337711,4.571075530804038
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.021812801298267386,0.1378582202111614,3.0499129584414386
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.021812801298267386,0.4825765575501584,3.049912958441438
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.02539258269295022,0.16048265460030167,2.949361488185018
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02539258269295022,0.46666666666666673,2.949361488185018
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.0219559925540547,0.138763197586727,2.664736711860236
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.0219559925540547,0.4216315307057745,2.664736711860236
frozenset({'HEART OF WICKER LARGE'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02066727125196888,0.39652014652014655,2.50603124879143
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HEART OF WICKER LARGE'}),0.02066727125196888,0.1306184012066365,2.50603124879143
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.024103861390864397,0.15233785822021115,2.397919209294999
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.024103861390864397,0.37941397445529673,2.397919209294999
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02563123478592907,0.3274390243902439,2.069434389140272
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.02563123478592907,0.16199095022624432,2.0694343891402713
frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.02104911460073505,0.31232294617563744,1.9738998628433726
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.02104911460073505,0.1330316742081448,1.9738998628433724
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.020476349577585796,0.12941176470588237,1.3428954345482622
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.020476349577585796,0.212481426448737,1.342895434548262
